plastic,name,casrn,smiles,ecosar_class,experimental_or_reference_neglog_lc50,log_kow_epi,abraham_e,abraham_s,abraham_a,abraham_b,abraham_v,abraham_l,literature,log_k_plastic_water,prediction_asm_neglog_lc50,prediction_ecosar_neglog_lc50,prediction_bl_neglog_lc50,prediction_lim_neglog_lc50,neglog_critical_burden_mol_kg,prediction_tpm_median_neglog_lc50,evidence_tier
Polyvinyl Chloride,Diclofenac,15307-86-5,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Neutral Organics-acid,,4.51,1.81,1.85,0.55,0.77,2.025,11.025,LSER Dataset for CompTox users (2017),2.6,5.731674999999999,3.8956890850396,5.142329999999999,5.3773800000000005,3.131674999999999,5.3033117,exploratory
Polyvinyl Chloride,Clonazepam,1622-61-3,O=C1CN=C(c2c(N1)ccc(c2)N(=O)=O)c1ccccc1Cl,Amides ,,2.41,2.46,1.75,0.33,1.5,2.1072,11.427,LSER Dataset for CompTox users (2017),1.08,3.5984044000000006,3.9042028709984558,3.28803,4.03758,2.5184044000000005,3.7833117,exploratory
Polyvinyl Chloride,warfarin,81-81-2,CC(=O)C[C@@H](c1c(=O)oc2c(c1O)cccc2)c1ccccc1,Esters,,2.7,1.98,1.88,0.29,1.57,2.3077,11.72,LSER Dataset for CompTox users (2017),1.96,3.7843329,4.0096849375726755,3.5441000000000003,4.2226,1.8243329,4.6633116999999995,exploratory
Polyvinyl Chloride,Diltiazem,42399-41-7,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(C(=O)[C@@H]1OC(=O)C)CCN(C)C,Amides ,,2.7,2.66,2.14,0.0,2.22,3.1365,15.56,LSER Dataset for CompTox users (2017),1.35,4.376080499999999,4.092915729168743,3.5441000000000003,4.2226,3.0260804999999986,4.0533117,exploratory
Polyvinyl Chloride,Diazepam,439-14-5,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,Amides ,,2.82,2.08,1.55,0.0,1.28,2.0739,10.48,LSER Dataset for CompTox users (2017),1.12,4.0121803,4.025066783149074,3.65006,4.29916,2.8921802999999997,3.8233117,exploratory
Polyvinyl Chloride,Promazine,58-40-2,CN(CCCN1c2ccccc2Sc2c1cccc2)C,Aliphatic Amines,,4.55,2.05,1.49,0.0,1.08,2.2832,11.3,LSER Dataset for CompTox users (2017),3.37,5.432166399999999,5.398581800711707,5.17765,5.4029,2.062166399999999,6.0733117,exploratory
Polyvinyl Chloride,Chloropromazine,50-53-3,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,Aliphatic Amines,,5.41,2.2,1.57,0.0,1.01,2.4056,11.84,LSER Dataset for CompTox users (2017),5.88,6.143831200000001,5.822372424396915,5.93703,5.95158,0.26383120000000115,8.5833117,exploratory
Polyvinyl Chloride,Thioridazine,50-52-2,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1,Aliphatic Amines,,5.9,2.7,2.7,0.0,1.15,2.9017,15.26,LSER Dataset for CompTox users (2017),4.43,7.322140900000001,6.639451331789292,6.369700000000001,6.264200000000001,2.892140900000001,7.1333117,exploratory
UHMWPE,Phenanthrene,85-01-8,c1ccc2c(c1)c1ccccc1cc2,Neutral Organics,5.10484984735857,4.46,2.06,1.29,0.0,0.26,1.4544,7.632,LSER Dataset for CompTox users (2017),4.54,5.604568799999999,5.1914417555923675,5.09818,5.34548,1.064568799999999,8.080606,exploratory
UHMWPE,DDT,50-29-3,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,Neutral Organics,,6.91,1.81,1.76,0.0,0.16,2.218,10.02,LSER Dataset for CompTox users (2017),4.81,8.350605999999999,7.403475952765883,7.2615300000000005,6.908580000000001,3.5406059999999995,8.350605999999999,exploratory
UHMWPE,di(2-ethylhexyl) phthalate,117-81-7,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,Esters,3.7166204939538,7.6,0.64,1.25,0.0,1.02,3.4014,12.7,,4.82,8.877067799999999,7.591698881719829,7.8708,7.3488,4.057067799999999,8.360606,exploratory
HDPE,Phenanthrene,85-01-8,c1ccc2c(c1)c1ccccc1cc2,Neutral Organics,5.10484984735857,4.46,2.06,1.29,0.0,0.26,1.4544,7.632,LSER Dataset for CompTox users (2017),4.41,5.604568799999999,5.1914417555923675,5.09818,5.34548,1.194568799999999,5.6088553,exploratory
HDPE,Naphthalene,91-20-3,c1ccc2c(c1)cccc2,Neutral Organics,4.32,3.3,1.34,0.92,0.0,0.2,1.0854,5.161,LSER Dataset for CompTox users (2017),3.83,4.339275799999999,4.135293449382193,4.0739,4.6053999999999995,0.5092757999999993,5.0288553,exploratory
HDPE,Acenaphthene,83-32-9,c1cc2cccc3c2c(c1)CC3,Neutral Organics,4.95,3.92,1.6,1.05,0.0,0.22,1.2586,6.469,,4.26,4.9377122,5.017264333521715,4.62136,5.00096,0.6777122000000002,5.4588553,exploratory
HDPE,Fluorene,86-73-7,c1ccc2c(c1)Cc1c2cccc1,Neutral Organics,,4.18,1.59,1.06,0.0,0.25,1.3565,6.922,LSER Dataset for CompTox users (2017),4.03,5.1551005000000005,4.895578295002938,4.85094,5.16684,1.1251005000000003,5.228855299999999,exploratory
HDPE,Fluoranthene,206-44-0,c1ccc2c(c1)c1cccc3c1c2ccc3,Neutral Organics,,5.16,2.38,1.55,0.0,0.24,1.5846,8.827,LSER Dataset for CompTox users (2017),4.78,6.2021742,5.719322698232861,5.71628,5.79208,1.4221741999999997,5.978855299999999,exploratory
HDPE,Pyrene,129-00-0,c1cc2ccc3c4c2c(c1)ccc4ccc3,Neutral Organics,5.30588895974712,4.88,2.81,1.71,0.0,0.28,1.5846,8.833,LSER Dataset for CompTox users (2017),4.73,6.2098342,5.719322698232861,5.46904,5.613440000000001,1.4798342,5.9288553,exploratory
HDPE,Benz[a]anthracene,56-55-3,c1ccc2c(c1)cc1c(c2)ccc2c1cccc2,Neutral Organics,,5.76,2.99,1.7,0.0,0.35,1.8234,10.291,,5.64,6.8431418,6.247916201190987,6.24608,6.17488,1.2031418,6.838855299999999,exploratory
HDPE,Chrysene,218-01-9,c1ccc2c(c1)c1ccc3c(c1cc2)cccc3,Neutral Organics,,5.81,3.03,1.73,0.0,0.33,1.8234,10.334,LSER Dataset for CompTox users (2017),6.05,6.925881799999999,6.247916201190987,6.29023,6.20678,0.8758817999999993,7.248855299999999,exploratory
HDPE,Toluene,108-88-3,Cc1ccccc1,Neutral Organics,3.595,2.73,0.6,0.52,0.0,0.14,0.8573,3.325,LSER Dataset for CompTox users (2017),1.85,3.546902099999999,3.5706274125757935,3.57059,4.24174,1.696902099999999,3.0488552999999996,exploratory
HDPE,o-Xylene,95-47-6,Cc1ccccc1C,Neutral Organics,4.10525,3.16,0.66,0.56,0.0,0.16,0.9982,3.939,LSER Dataset for CompTox users (2017),2.39,3.9690413999999996,4.0621667866550295,3.9502800000000002,4.5160800000000005,1.5790413999999995,3.5888552999999996,exploratory
